run,label_id,label_name,count,precision,recall,f1_score,support,per_label_accuracy
gpt4o_fifteen_shot,4,non_domain,3,0.0,0.0,0.0,3.0,0.0
gpt52_zero_shot,4,non_domain,3,0.0,0.0,0.0,3.0,0.0
gpt4o_five_shot,4,non_domain,3,0.0,0.0,0.0,3.0,0.0
gpt4o_zero_shot,4,non_domain,3,0.0,0.0,0.0,3.0,0.0
gpt52_fifteen_shot,4,non_domain,3,0.13333333333333333,0.6666666666666666,0.2222222222222222,3.0,0.6666666666666666
gpt52_five_shot,3,irrelevant,133,0.8064516129032258,0.18796992481203006,0.3048780487804878,133.0,0.18796992481203006
gpt52_fifteen_shot,3,irrelevant,133,0.875,0.21052631578947367,0.3393939393939394,133.0,0.21052631578947367
gpt52_zero_shot,3,irrelevant,133,0.8333333333333334,0.22556390977443608,0.35502958579881655,133.0,0.22556390977443608
gpt52_five_shot,4,non_domain,3,0.25,0.6666666666666666,0.36363636363636365,3.0,0.6666666666666666
gpt4o_fifteen_shot,2,partially_correct_incomplete,113,0.3793103448275862,0.3893805309734513,0.38427947598253276,113.0,0.3893805309734513
gpt4o_five_shot,2,partially_correct_incomplete,113,0.38405797101449274,0.4690265486725664,0.42231075697211157,113.0,0.4690265486725664
gpt4o_zero_shot,2,partially_correct_incomplete,113,0.31718061674008813,0.6371681415929203,0.4235294117647059,113.0,0.6371681415929203
gpt52_five_shot,2,partially_correct_incomplete,113,0.3418803418803419,0.7079646017699115,0.4610951008645533,113.0,0.7079646017699115
gpt52_fifteen_shot,2,partially_correct_incomplete,113,0.35267857142857145,0.6991150442477876,0.4688427299703264,113.0,0.6991150442477876
gpt52_zero_shot,2,partially_correct_incomplete,113,0.3488372093023256,0.7964601769911505,0.48517520215633425,113.0,0.7964601769911505
gpt4o_zero_shot,3,irrelevant,133,0.8214285714285714,0.3458646616541353,0.48677248677248675,133.0,0.3458646616541353
gpt4o_zero_shot,1,contradictory,58,0.47368421052631576,0.7758620689655172,0.5882352941176471,58.0,0.7758620689655172
gpt4o_five_shot,3,irrelevant,133,0.7857142857142857,0.49624060150375937,0.6082949308755761,133.0,0.49624060150375937
gpt4o_fifteen_shot,3,irrelevant,133,0.7553191489361702,0.5338345864661654,0.6255506607929515,133.0,0.5338345864661654
gpt4o_fifteen_shot,1,contradictory,58,0.5797101449275363,0.6896551724137931,0.6299212598425197,58.0,0.6896551724137931
gpt4o_five_shot,1,contradictory,58,0.6060606060606061,0.6896551724137931,0.6451612903225806,58.0,0.6896551724137931
gpt52_five_shot,1,contradictory,58,0.6557377049180327,0.6896551724137931,0.6722689075630253,58.0,0.6896551724137931
gpt52_fifteen_shot,1,contradictory,58,0.6231884057971014,0.7413793103448276,0.6771653543307087,58.0,0.7413793103448276
gpt4o_zero_shot,0,correct,233,0.8395061728395061,0.5836909871244635,0.6886075949367089,233.0,0.5836909871244635
gpt52_zero_shot,1,contradictory,58,0.6666666666666666,0.7241379310344828,0.6942148760330579,58.0,0.7241379310344828
gpt52_zero_shot,0,correct,233,0.8743169398907104,0.6866952789699571,0.7692307692307693,233.0,0.6866952789699571
gpt52_fifteen_shot,0,correct,233,0.845,0.7253218884120172,0.7806004618937644,233.0,0.7253218884120172
gpt4o_fifteen_shot,0,correct,233,0.749034749034749,0.8326180257510729,0.7886178861788617,233.0,0.8326180257510729
gpt52_five_shot,0,correct,233,0.8495145631067961,0.7510729613733905,0.7972665148063781,233.0,0.7510729613733905
gpt4o_five_shot,0,correct,233,0.7729083665338645,0.8326180257510729,0.8016528925619835,233.0,0.8326180257510729
